Date,"Ethereum"
2024-01-01,986
2024-01-02,1403
2024-01-03,1546
2024-01-04,1382
2024-01-05,1317
2024-01-06,1084
2024-01-07,1099
2024-01-08,1302
2024-01-09,1269
2024-01-10,1713
2024-01-11,2040
2024-01-12,1668
2024-01-13,1297
2024-01-14,1299
2024-01-15,1425
2024-01-16,1420
2024-01-17,1347
2024-01-18,1431
2024-01-19,1222
2024-01-20,1079
2024-01-21,1037
2024-01-22,1279
2024-01-23,1347
2024-01-24,1287
2024-01-25,1358
2024-01-26,1310
2024-01-27,1162
2024-01-28,1137
2024-01-29,1295
2024-01-30,1405
2024-01-31,1408
2024-02-01,1462
2024-02-02,1224
2024-02-03,1025
2024-02-04,1027
2024-02-05,1195
2024-02-06,1196
2024-02-07,1319
2024-02-08,1312
2024-02-09,1240
2024-02-10,1177
2024-02-11,1210
2024-02-12,1450
2024-02-13,1543
2024-02-14,1327
2024-02-15,1448
2024-02-16,1411
2024-02-17,1183
2024-02-18,1300
2024-02-19,1531
2024-02-20,1839
2024-02-21,1816
2024-02-22,1690
2024-02-23,1527
2024-02-24,1295
2024-02-25,1461
2024-02-26,1808
2024-02-27,1923
2024-02-28,2477
2024-02-29,2452
2024-03-01,2047
2024-03-02,1724
2024-03-03,1769
2024-03-04,2239
2024-03-05,2577
2024-03-06,2556
2024-03-07,2358
2024-03-08,2467
2024-03-09,2291
2024-03-10,4240
2024-03-11,3214
2024-03-12,2795
2024-03-13,2719
2024-03-14,2541
2024-03-15,2043
2024-03-16,1877
2024-03-17,1786
2024-03-18,1859
2024-03-19,1800
2024-03-20,2167
2024-03-21,2061
2024-03-22,1860
2024-03-23,1658
2024-03-24,1625
2024-03-25,1813
2024-03-26,2204
2024-03-27,2272
2024-03-28,2062
2024-03-29,1805
2024-03-30,1696
2024-03-31,1662
2024-04-01,1833
2024-04-02,1657
2024-04-03,1950
2024-04-04,1756
2024-04-05,1519
2024-04-06,1324
2024-04-07,1266
2024-04-08,1666
2024-04-09,1527
2024-04-10,1395
2024-04-11,1903
2024-04-12,1868
2024-04-13,1413
2024-04-14,1731
2024-04-15,1887
2024-04-16,1675
2024-04-17,1673
2024-04-18,1568
2024-04-19,1565
2024-04-20,1488
2024-04-21,1525
2024-04-22,1712
2024-04-23,1687
2024-04-24,1699
2024-04-25,1467
2024-04-26,1537
2024-04-27,1492
2024-04-28,1373
2024-04-29,1350
2024-04-30,1428
2024-05-01,1337
2024-05-02,1305
2024-05-03,1230
2024-05-04,1242
2024-05-05,1177
2024-05-06,1357
2024-05-07,1310
2024-05-08,1288
2024-05-09,1272
2024-05-10,1185
2024-05-11,950
2024-05-12,1052
2024-05-13,1355
2024-05-14,1242
2024-05-15,1365
2024-05-16,1678
2024-05-17,1442
2024-05-18,1168
2024-05-19,1173
2024-05-20,1529
2024-05-21,2287
2024-05-22,2099
2024-05-23,2374
2024-05-24,2405
2024-05-25,1543
2024-05-26,1703
2024-05-27,1862
2024-05-28,1747
2024-05-29,1653
2024-05-30,1510
2024-05-31,1393
2024-06-01,1170
2024-06-02,1132
2024-06-03,1302
2024-06-04,1302
2024-06-05,1409
2024-06-06,1423
2024-06-07,1641
2024-06-08,1241
2024-06-09,1133
2024-06-10,1375
2024-06-11,1285
2024-06-12,1208
